From,To,Weight,Impact Factor
SCIENTOMETRICS,SCIENCE,180,37.205
J CANCER SURVIV,SUPPORT CARE CANCER,110,2.698
EURASIA J MATH SCI T,INT J SCI MATH EDUC,46,1.474
RAND J ECON,J ECON MANAGE STRAT,14,0.912
AFFILIA J WOM SOC WO,VIOLENCE AGAINST WOM,38,1.423
SCI EDUC,J LEARN SCI,54,2.297
J MANAGE PSYCHOL,J PERS SOC PSYCHOL,114,5.017
CALIF LAW REV,YALE LAW J,77,4.258
CAN J BEHAV SCI,J PERS SOC PSYCHOL,66,5.017
ISSUES MENT HEALTH N,ISSUES MENT HEALTH N,144,0.867
CHILD DEV,J CROSS CULT PSYCHOL,41,1.657
J HEALTH PSYCHOL,INT J BEHAV MED,21,1.846
FOREIGN LANG ANN,SYSTEM,25,1.400
FRONT PSYCHOL,J EDUC RES,32,1.197
HUM DEV,PSYCHOL BULL,8,16.793
AM POLIT RES,POLIT RES QUART,72,1.053
J APPL PSYCHOL,HUM PERFORM,28,1.302
REV ECON STUD,J ECON THEORY,69,1.147
ECON MODEL,J MONETARY ECON,257,2.11
J R STAT SOC A STAT,J R STAT SOC A STAT,41,1.852
DEATH STUD,CRISIS,23,1.440
HUM PERFORM,J PERS SOC PSYCHOL,67,5.017
ATTEN PERCEPT PSYCHO,COGNITIVE PSYCHOL,130,3.719
DEATH STUD,SOC SCI MED,30,2.797
CLIN PSYCHOL-UK,CLIN PSYCHOL-SCI PR,13,2.38
HUM ORGAN,AM ANTHROPOL,22,1.58
INT PSYCHOGERIATR,J AM GERIATR SOC,183,4.388
J RES ADOLESCENCE,DEV PSYCHOL,168,3.228
TIJDSCHR COMMUNWET,J ADVERTISING,10,2.896
PUBLIC MANAG REV,PUBLIC MONEY MANAGE,25,1.133
INT J SUST HIGHER ED,SUSTAINABILITY-BASEL,15,1.789
J KNOWL MANAG,ACAD MANAGE REV,72,9.408
NEW MEDIA SOC,POLIT COMMUN,54,2.467
HUM RESOUR MANAGE R,HUM RESOUR MANAGE R,54,2.368
ANNU REV ORGAN PSYCH,ADMIN SCI QUART,50,4.929
J PEDIATR NURS,J ADOLESCENT HEALTH,45,3.974
SUBST USE MISUSE,J SUBST USE,20,0.77
J LEARN DISABIL-US,SCI STUD READ,60,3.056
J HUM EVOL,EVOL ANTHROPOL,111,3.733
LEARN INDIVID DIFFER,EDUC PSYCHOL REV,95,4.333
PLOS ONE,ANNU REV SOCIOL,95,5.404
ANNU REV PSYCHOL,J CAREER ASSESSMENT,27,1.33
J CHILD FAM STUD,PSYCHOL INQ,30,16.455
SPAN J PSYCHOL,PSICOTHEMA,41,1.344
INT J PROJ MANAG,J ENG TECHNOL MANAGE,21,2.419
J COUNS PSYCHOL,J CONSULT CLIN PSYCH,135,4.593
J BUS ETHICS,ACAD MANAGE REV,648,9.408
J MANAGE STUD,ACAD MANAGE REV,300,9.408
MARIT POLICY MANAG,TRANSPORT RES A-POL,31,2.609
MED CARE RES REV,HEALTH CARE MANAGE R,11,1.921
STUD HIGH EDUC,BRIT J EDUC PSYCHOL,33,2.403
J AFFECT DISORDERS,NORD J PSYCHIAT,28,1.406
AIDS BEHAV,SUBST USE MISUSE,56,1.234
DRUG ALCOHOL DEPEN,DRUG ALCOHOL DEPEN,1144,3.222
TEACH TEACH EDUC,EUR J SPEC NEEDS EDU,15,0.605
NURS EDUC TODAY,J CONTIN EDUC NURS,81,0.880
CURR OPIN PSYCHIATR,PLOS ONE,47,2.806
ANNU REV PSYCHOL,J VOCAT BEHAV,62,2.555
TRAMES-J HUMANIT SOC,TRAMES-J HUMANIT SOC,8,0.2
J ABNORM PSYCHOL,J ABNORM PSYCHOL,450,4.133
INT J HUM RESOUR MAN,WORK EMPLOY SOC,40,1.821
INFORM TECHNOL MANAG,ACAD MANAGE REV,19,9.408
J PURCH SUPPLY MANAG,STRATEGIC MANAGE J,57,4.461
TEACH TEACH EDUC,EDUC LEADERSHIP,46,0.194
INF ECON POLICY,AM ECON REV,41,4.026
BMC PUBLIC HEALTH,J PHYS ACT HEALTH,196,1.797
INT J COMP SOCIOL,SOC FORCES,19,2.113
INT J IND ORGAN,REV IND ORGAN,10,0.65
GOV INFORM Q,INFORM SYST RES,31,2.763
J EXP PSYCHOL GEN,J PERS SOC PSYCHOL,389,5.017
TER PSICOL,J INTERPERS VIOLENCE,9,1.940
J EXP PSYCHOL HUMAN,ATTEN PERCEPT PSYCHO,179,1.863
J COGN DEV,CHILD DEV,190,4.195
INT J TECHNOL MANAGE,ACAD MANAGE REV,44,9.408
FRONT PSYCHOL,J EXP PSYCHOL GEN,502,4.420
DEV PSYCHOPATHOL,ANNU REV CLIN PSYCHO,47,12.136
J PERS,PSYCHOL SCI,51,5.667
PSYCHOL SCI PUBL INT,ARCH SEX BEHAV,61,2.720
PLOS ONE,BRAIN COGNITION,174,2.432
FRONT PSYCHOL,PERS RELATIONSHIP,40,0.739
JUSTICE Q,SOC PROBL,35,1.684
MOBILITIES-UK,THEOR CULT SOC,50,1.904
J EXP CHILD PSYCHOL,LEARN INDIVID DIFFER,43,1.650
LANGUAGE,PHONETICA,12,0.458
INT J EDUC RES,EDUC RES REV-NETH,10,3.839
ADV HEALTH SCI EDUC,JAMA-J AM MED ASSOC,35,44.405
STUD EDUC EVAL,ASSESS EVAL HIGH EDU,52,1.391
J EXP PSYCHOL LEARN,J EXP PSYCHOL HUMAN,209,2.287
SCH MENT HEALTH,J SCHOOL PSYCHOL,22,3.000
COMPUT HUM BEHAV,FORBES,14,2.151
SOC INDIC RES,SOCIOL QUART,18,1.237
ECON INQ,ECON INQ,48,0.922
ACTA PSYCHIAT SCAND,AM J PSYCHIAT,266,14.176
MED CARE,NEW ENGL J MED,183,72.406
CHILD ABUSE REV,CHILD ABUSE NEGLECT,80,2.293
MEDIA PSYCHOL,HUM COMMUN RES,26,1.549
CHEM EDUC RES PRACT,RES SCI EDUC,69,1.329
TECH COMMUN-STC,IEEE T PROF COMMUN,26,2.184
SPRINGERPLUS,ASIAN J TECHNOL INNO,4,0.698
SOC INFLUENCE,J PERS SOC PSYCHOL,72,5.017
CURR PSYCHOL,J APPL PSYCHOL,59,4.130
GAMES HEALTH J,PEDIATRICS,30,5.705
INTERACT LEARN ENVIR,TECHNOL PEDAGOG EDUC,7,1.066
SCIENTOMETRICS,SCIENTOMETRICS,2039,2.147
CAN J PSYCHIAT,PSYCHOL MED,64,5.23
Q J ECON,Q J ECON,150,6.662
INT J AGING HUM DEV,J PERS SOC PSYCHOL,52,5.017
PLOS ONE,J ECON PERSPECT,67,5.727
EMOT REV,COGNITION EMOTION,78,2.688
J RETAILING,J MARKETING,142,5.318
INT J LOGIST MANAG,SUPPLY CHAIN MANAG,131,4.072
LEARN INDIVID DIFFER,Z PADAGOG PSYCHOL,28,0.722
FIELD METHOD,INT J PUBLIC OPIN R,7,1.254
EDUC PSYCHOL-UK,CONTEMP EDUC PSYCHOL,76,2.877
EMOTION,J PERS SOC PSYCHOL,436,5.017
SOC PSYCH PSYCH EPID,PSYCHOL MED,191,5.23
INT J INCLUSIVE EDUC,BRIT EDUC RES J,29,1.214
ASIA PAC BUS REV,STRATEGIC MANAGE J,34,4.461
OMEGA-INT J MANAGE S,EUR J OPER RES,553,3.297
ACAD MANAG LEARN EDU,ACAD MANAG LEARN EDU,214,2.426
ECON MODEL,ECON LETT,160,0.558
FRONT PSYCHOL,J APPL SOC PSYCHOL,125,1.231
PLOS ONE,PREV SCI,39,2.570
FRONT PSYCHOL,LANG SPEECH,82,1.471
ACAD MANAGE REV,J MANAGE STUD,81,3.962
SUBST USE MISUSE,J STUD ALCOHOL DRUGS,265,2.5
INT J INCLUSIVE EDUC,EXCEPT CHILDREN,40,2.296
J FAM PSYCHOL,AM J FAM THER,11,0.500
FRONT PSYCHOL,MIL PSYCHOL,13,0.734
EVAL HEALTH PROF,BMC HEALTH SERV RES,16,1.827
J TRAVEL TOUR MARK,INT J CONTEMP HOSP M,65,3.196
ACCIDENT ANAL PREV,HUM FACTORS,115,2.219
HUM RESOUR MANAGE-US,ORGAN DYN,20,0.93
J SAFETY RES,J SAFETY RES,78,1.841
AGEING SOC,J MARRIAGE FAM,45,2.238
NEUROIMAGE,BIOL PSYCHOL,144,3.07
PHILOS PSYCHOL,COGN SYST RES,8,1.182
ONLINE INFORM REV,SOC SCI COMPUT REV,16,2.293
FRONT PSYCHOL,SPAT COGN COMPUT,14,1.167
PSYCHOL BULL,ATTACH HUM DEV,33,2.042
YOUNG,YOUNG,37,0.707
ADICCIONES,PSICOTHEMA,15,1.344
DRUG ALCOHOL REV,DRUG ALCOHOL REV,158,2.822
CHILD YOUTH SERV REV,CHILD YOUTH CARE FOR,28,1.054
J ACAD MARKET SCI,J RETAILING,69,3.772
ASSESS EVAL HIGH EDU,INNOV EDUC TEACH INT,26,0.667
LANG CULT CURRIC,COMPUT EDUC,7,3.819
J PSYCHOL,J PERS SOC PSYCHOL,144,5.017
CREATIVITY RES J,J APPL PSYCHOL,24,4.130
J BUS ETHICS,EUR MANAG J,39,2.481
J CONSUM BEHAV,J BUS RES,84,3.354
J LABOR ECON,J LABOR ECON,114,2.887
INT BUS REV,ACAD MANAGE PERSPECT,35,4.943
J RES EDUC EFF,CHILD DEV,28,4.195
PLOS ONE,CHILD CARE HLTH DEV,55,1.445
INT J BEHAV DEV,INT J BEHAV DEV,73,1.850
FUTURE CHILD,EARLY CHILD RES Q,36,2.436
DEV PSYCHOL,DEVELOPMENTAL SCI,152,4.604
ASSESS EVAL HIGH EDU,REV EDUC RES,44,5.263
EARLY CHILD RES Q,J RES EDUC EFF,12,1.31
HEALTH SOC CARE COMM,HEALTH SOC CARE COMM,101,2.047
FRONT PSYCHOL,RES DEV DISABIL,122,1.63
TRAV HUMAIN,TRAV HUMAIN,36,0.697
COUNS PSYCHOL,J VOCAT BEHAV,20,2.555
SOCIOL PERSPECT,SOCIOL PERSPECT,21,1.133
PLOS ONE,NEUROREHABILITATION,34,1.495
INT J ADVERT,J CONSUM RES,198,3.800
J PSYCHIATR RES,BRIT J PSYCHIAT,149,6.347
J ECON MANAGE STRAT,J ECON MANAGE STRAT,39,0.912
REV IND ORGAN,AM ECON REV,40,4.026
SCAND J PSYCHOL,PERS INDIV DIFFER,67,2.005
DEMOGRAPHY,AM SOCIOL REV,154,4.4
BRIT J CLIN PSYCHOL,COGNITIVE THER RES,23,2.313
DISASTER PREV MANAG,DISASTERS,25,1.255
ASLIB J INFORM MANAG,SCIENTOMETRICS,34,2.147
EDUC STUD MATH,INT J EDUC RES,21,0.930
PLOS ONE,J ECON LIT,47,5.220
IMPLEMENT SCI,SCH MENT HEALTH,6,1.689
J MASS COMMUN Q,INT J PUBLIC OPIN R,22,1.254
COGN PROCESS,NEUROIMAGE,49,5.835
CLIN CHILD FAM PSYCH,J CONSULT CLIN PSYCH,76,4.593
J ADOLESCENCE,J ADOLESCENT RES,50,1.433
EVAL PROGRAM PLANN,EVALUATION REV,14,1.293
J INT PHON ASSOC,J INT PHON ASSOC,20,0.595
NEUROPSYCHOLOGY,BRAIN INJURY,88,1.971
FRONT PSYCHOL,J APPL SPORT PSYCHOL,59,1.4
EUR J CRIMINOL,EUR J CRIM POLICY RE,6,1.000
ELEM SCHOOL J,AM EDUC RES J,40,2.931
CURR PSYCHIAT REP,J AM ACAD CHILD PSY,105,6.442
PUBLIC UNDERST SCI,J COMMUN,31,3.914
LEARN MEDIA TECHNOL,LEARN MEDIA TECHNOL,45,2.035
J PSYCHIATR RES,J PSYCHIATR RES,206,4.183
J INT MARKETING,J MARKETING RES,81,3.654
AM J PSYCHIAT,J CLIN PSYCHIAT,165,5.291
INFORM MANAGE-AMSTER,J GLOB INF MANAG,13,0.517
J CHOICE MODEL,TRANSPORT RES A-POL,27,2.609
J SOC CLIN PSYCHOL,CLIN PSYCHOL REV,23,8.897
J ADV NURS,J PEDIATR NURS,19,1.158
TRAUMA VIOLENCE ABUS,VIOLENCE AGAINST WOM,43,1.423
J EXP SOC PSYCHOL,SOC PSYCHOL-GERMANY,30,2.602
ACAD MANAG ANN,ADMIN SCI QUART,148,4.929
EMPL RELAT,INT J MANPOWER,12,0.641
IND ORGAN PSYCHOL-US,J PERS SOC PSYCHOL,53,5.017
PSYCHIAT QUART,AM J PSYCHIAT,53,14.176
J FAM PSYCHOL,J FAM PSYCHOL,283,1.742
TECHNOL ANAL STRATEG,ASIAN J TECHNOL INNO,13,0.698
CLIN PSYCHOL-SCI PR,AM J PSYCHIAT,31,14.176
APPL ERGON,INT J IND ERGONOM,185,1.415
PLOS ONE,J ATTEN DISORD,47,3.378
DEV REV,DEV PSYCHOPATHOL,39,3.244
EUR J SPEC NEEDS EDU,INT J INCLUSIVE EDUC,29,0.844
PLOS ONE,PSYCHOPHYSIOLOGY,471,2.668
STUD PSYCHOL,CHILD DEV,8,4.195
HEALTH POLICY,SOC SCI MED,77,2.797
CAN J AGING,J ADV NURS,24,1.998
J AFFECT DISORDERS,SUICIDE LIFE-THREAT,130,3.252
ENTREP REGION DEV,J BUS VENTURING,112,5.774
SPORT PSYCHOL,PERS INDIV DIFFER,17,2.005
EUR J AGEING,AGEING SOC,37,1.386
EMOTION,J NONVERBAL BEHAV,33,1.588
QUAL QUANT,J POLICY MODEL,21,0.993
EDUC PSYCHOL-UK,LEARN INDIVID DIFFER,60,1.650
AUSTRALAS J EDUC TEC,INTERNET HIGH EDUC,31,4.238
PSYCHOPHYSIOLOGY,J PSYCHOPHYSIOL,40,0.683
AM J COMMUN PSYCHOL,J COMMUNITY PSYCHOL,120,0.86
J CLIN NURS,APPL NURS RES,36,1.379
TECHNOL PEDAGOG EDUC,BRIT J EDUC TECHNOL,17,2.410
PROGRAM-ELECTRON LIB,MIS QUART,21,7.268
EGIT BILIM,J BALT SCI EDUC,3,0.508
FAM RELAT,J FAM PSYCHOL,60,1.742
MINDFULNESS,BEHAV RES THER,113,4.064
EUR ECON REV,J POLIT ECON,204,3.923
REV ECON STUD,Q J ECON,124,6.662
PSYCHON B REV,J EXP PSYCHOL GEN,172,4.420
ACAD MANAG ANN,J APPL PSYCHOL,145,4.130
J GERONTOL B-PSYCHOL,RES AGING,47,1.214
REV MANAG SCI,J BUS ETHICS,42,2.354
J EXP CHILD PSYCHOL,MONOGR SOC RES CHILD,41,2.204
INFORM MANAGE-AMSTER,MIS QUART,456,7.268
ENG MANAG J,IND MARKET MANAG,14,3.166
EUR J OPER RES,TRANSPORT RES E-LOG,115,2.974
FEM PSYCHOL,SEX ROLES,23,1.954
J CONTING CRISIS MAN,J HOMEL SECUR EMERG,6,0.474
J RES MATH EDUC,MATH THINK LEARN,22,0.962
PUBLIC MANAG REV,AM REV PUBLIC ADM,61,1.438
COMPUT HUM BEHAV,HUM COMMUN RES,172,1.549
FRONT PSYCHOL,ASIA-PAC PSYCHIAT,10,0.954
J FAM VIOLENCE,AGGRESS VIOLENT BEH,71,1.928
ISSUES MENT HEALTH N,J ADV NURS,77,1.998
RAND J ECON,ECONOMETRICA,95,3.379
DRUG ALCOHOL DEPEN,ADDICTION,843,5.789
CULT HEALTH SEX,PLOS ONE,46,2.806
NEW MEDIA SOC,CONVERGENCE-US,17,0.950
IEEE T ENG MANAGE,IEEE T ENG MANAGE,79,1.188
PSYCHOTHER PSYCHOSOM,PSYCHOTHER PSYCHOSOM,202,8.964
SURV METHODOL,J OFF STAT,17,0.411
ACAD MANAGE J,ACAD MANAGE J,1006,7.417
J CONSUM PSYCHOL,J CONSUM RES,382,3.800
PSYCHOL BULL,J ABNORM PSYCHOL,114,4.133
FRONT BEHAV NEUROSCI,ELECTRON COMMER RES,7,1.320
J BUS RES,J CONSUM PSYCHOL,166,3.385
FRONT PSYCHOL,J RES PERS,179,2.417
REV EDUC,INT J EDUC VOCAT GUI,6,0.618
J MANAGE,J MANAGE,306,7.733
FRONT PSYCHOL,PSYCHIAT INVEST,11,1.406
LAND USE POLICY,J ENVIRON MANAGE,249,4.010
PSICOTHEMA,J PERS SOC PSYCHOL,22,5.017
TECHNOL FORECAST SOC,J ENG TECHNOL MANAGE,40,2.419
INTERACT COMPUT,IEEE T PROF COMMUN,7,2.184
BEHAV RES METHODS,BRIT J MATH STAT PSY,40,3.51
GERIATR NURS,GERIATR NURS,32,1.142
INT GAMBL STUD,J GAMBL STUD,147,2.173
HUM COMMUN RES,COMMUN MONOGR,27,1.738
ACCOUNT AUDIT ACCOUN,SPAN J FINANC ACCOUN,2,0.550
TEH VJESN,CROAT J EDUC,2,0.126
PSYCHOMETRIKA,BRIT J MATH STAT PSY,33,3.51
QUAL QUANT,ECONOMETRICA,34,3.379
SOCIOL SPECTRUM,SOC FORCES,21,2.113
ENTREP REGION DEV,ENTREP REGION DEV,182,1.776
RES POLICY,ADMIN SCI QUART,192,4.929
J KNOWL MANAG,J KNOWL MANAG,470,2.053
COMPUT HUM BEHAV,J APPL COMMUN RES,31,0.308
ATTEN PERCEPT PSYCHO,PSYCHOL SCI,303,5.667
ACCOUNT AUDIT ACCOUN,PUBLIC MONEY MANAGE,16,1.133
J APPL GERONTOL,ACCIDENT ANAL PREV,23,2.685
J ADOLESCENCE,NEW DIR CHILD ADOLES,15,1.102
HUM PERFORM,J APPL PSYCHOL,258,4.130
MARKET SCI,QME-QUANT MARK ECON,35,1.333
JASSS-J ARTIF SOC S,JASSS-J ARTIF SOC S,104,0.992
ADM POLICY MENT HLTH,CLIN PSYCHOL-SCI PR,41,2.38
J SUBST ABUSE TREAT,EVAL PROGRAM PLANN,23,1.137
COGNITION,THINK REASONING,25,2.783
ANNU REV PUBL HEALTH,SOC SCI MED,42,2.797
S AFR J PSYCHOL,AM PSYCHOL,16,6.681
SPORT MANAG REV,J MARKETING,28,5.318
ADV NURS SCI,QUAL HEALTH RES,21,2.036
ANNU REV PUBL HEALTH,AM J PUBLIC HEALTH,80,3.858
PERS SOC PSYCHOL B,J PERS SOC PSYCHOL,1015,5.017
INT J TOUR RES,CURR ISSUES TOUR,35,2.451
J THEOR SOC BEHAV,J HAPPINESS STUD,8,2.327
EDUC SCI-THEOR PRACT,TEACH TEACH EDUC,38,2.183
PSYCHIAT SERV,PSYCHOL SERV,18,1.544
J LANG SOC PSYCHOL,J PERS SOC PSYCHOL,83,5.017
J THEOR SOC BEHAV,J THEOR SOC BEHAV,34,1.304
FOREIGN POL ANAL-US,FOREIGN POL ANAL-US,29,0.841
LINGUIST EDUC,LANG EDUC-UK,14,1.254
J HEALTH PSYCHOL,J PERS SOC PSYCHOL,139,5.017
REV ECON STAT,Q J ECON,140,6.662
REV EDUC,TEACH TEACH EDUC,11,2.183
JPN PSYCHOL RES,PSYCHOLOGIA,11,0.171
J SPORT EXERCISE PSY,J PERS SOC PSYCHOL,37,5.017
FRONT PSYCHOL,HEALTH PSYCHOL REV,35,7.241
FEM PSYCHOL,PSYCHOL WOMEN QUART,36,2.432
HUM MOVEMENT SCI,RES Q EXERCISE SPORT,71,1.815
ACAD MANAGE J,ORGAN RES METHODS,54,4.783
J VACAT MARK,TOURISM MANAGE,114,4.707
CONTEMP EDUC PSYCHOL,METACOGN LEARN,12,2.419
CONSCIOUS COGN,PSYCHOL BULL,108,16.793
AGEING SOC,SOC SCI MED,77,2.797
PERS INDIV DIFFER,SOC BEHAV PERSONAL,51,0.548
INTEGR PSYCHOL BEHAV,HUM DEV,13,2.517
J ANXIETY DISORD,BEHAV RES THER,376,4.064
EDUC PSYCHOL MEAS,PSYCHOL BULL,30,16.793
INT J ENV RES PUB HE,AM J HEALTH PROMOT,38,2.586
TECHNOL FORECAST SOC,STRATEGIC MANAGE J,171,4.461
BRIT J MANAGE,BRIT J MANAGE,146,2.982
EUR J OPER RES,J RISK UNCERTAINTY,37,1.298
BEHAV INFORM TECHNOL,INTERACT COMPUT,21,1.410
J MANAGE,J BUS PSYCHOL,25,2.694
IND ORGAN PSYCHOL-US,IND ORGAN PSYCHOL-US,169,1.747
WORK EMPLOY SOC,ECON IND DEMOCRACY,12,1.156
PSYCHOL AGING,J PERS SOC PSYCHOL,160,5.017
J ADOLESCENT RES,J RES ADOLESCENCE,23,2.288
INT SMALL BUS J,ENTREP REGION DEV,65,1.776
BMC PUBLIC HEALTH,J HEALTH SOC BEHAV,82,3
FRONT PSYCHOL,J PSYCHOPHYSIOL,27,0.683
INT J INCLUSIVE EDUC,ASIA-PAC J TEACH EDU,12,0.964
J NONVERBAL BEHAV,J NONVERBAL BEHAV,41,1.588
COGN SYST RES,COGN SYST RES,24,1.182
COGNITION,BEHAV BRAIN SCI,109,14.2
PERS INDIV DIFFER,J SOC PSYCHOL,53,0.844
PSYCHOL SCHOOLS,J PSYCHOEDUC ASSESS,17,1.034
INT J CONTEMP HOSP M,CORNELL HOSP Q,141,2.657
SOC INDIC RES,ACTA SOCIOL,25,1.225
HEALTH SERV RES,HEALTH SERV RES,297,3.089
PSYCHOL HEALTH MED,PSYCHOLOGIA,3,0.171
J APPL GERONTOL,J GERONTOL B-PSYCHOL,45,3.064
SUSTAINABILITY-BASEL,TRANSPORT POLICY,83,2.269
J IMMIGR MINOR HEALT,J GEN INTERN MED,56,3.701
BRAIN COGNITION,P NATL ACAD SCI USA,84,9.661
SOC FORCES,SOC FORCES,149,2.113
PERS INDIV DIFFER,AM PSYCHOL,200,6.681
PSYCHOL BELG,PSYCHOL BELG,7,0.806
ORGAN RES METHODS,ACAD MANAGE REV,40,9.408
INT J EDUC RES,BRIT EDUC RES J,20,1.214
QUAL LIFE RES,SOC SCI MED,134,2.797
PSYCHIAT PRAX,J AFFECT DISORDERS,19,3.432
EUR J PSYCHOL ASSESS,EUR J PSYCHOL ASSESS,26,2.328
PSYCHIAT SERV,AM J PUBLIC HEALTH,91,3.858
J ADV NURS,AM J NURS,16,1.663
COGNITIVE PSYCHOL,J EXP PSYCHOL LEARN,99,2.667
GOV INFORM Q,J THEOR APPL EL COMM,11,1.441
PERCEPTION,PSYCHOL SCI,108,5.667
TECHNOL ANAL STRATEG,INNOV-MANAG POLICY P,8,0.950
EURASIA J MATH SCI T,SCI EDUC,128,2.506
PHONETICA,PHONETICA,24,0.458
CHEM EDUC RES PRACT,J SCI EDUC TECHNOL,37,1.080
AM J PSYCHOL,J EXP PSYCHOL LEARN,27,2.667
APPL COGNITIVE PSYCH,MEM COGNITION,112,2.253
INT J INFORM MANAGE,ELECTRON MARK,15,1.864
J RES CRIME DELINQ,CRIMINOLOGY,196,5.019
CHILD INDIC RES,APPL RES QUAL LIFE,4,1.286
SOCIOL PERSPECT,AM SOCIOL REV,94,4.4
INFORM COMMUN SOC,NEW MEDIA SOC,130,4.180
J STUD ALCOHOL DRUGS,PSYCHOL ADDICT BEHAV,137,2.543
J BUS TECH COMMUN,WRIT COMMUN,13,1.2
TELECOMMUN POLICY,AM ECON REV,52,4.026
ACAD MANAGE J,ACAD MANAGE REV,397,9.408
J COMMUN,J COMPUT-MEDIAT COMM,33,4.113
STUD HIGH EDUC,J STUD INT EDUC,39,1.294
GAMES HEALTH J,COMPUT HUM BEHAV,30,3.435
AN PSICOL-SPAIN,SPAN J PSYCHOL,25,0.502
J CHILD FAM STUD,MONOGR SOC RES CHILD,42,2.204
BRIT J SOCIOL,BRIT J SOCIOL,55,1.594
CULT HEALTH SEX,SEXUALITIES,15,0.922
S AFR J BUS MANAG,J MARKETING,27,5.318
J ASSOC INF SCI TECH,INFORM TECHNOL LIBR,8,1.029
FRONT PSYCHOL,J EXP EDUC,40,1.588
REV MANAG SCI,MANAGE SCI,35,2.822
SCI PUBL POLICY,TECHNOL FORECAST SOC,41,2.625
SOC SCI QUART,POLIT BEHAV,32,2.138
HEALTH COMMUN,HEALTH EDUC BEHAV,32,1.808
INT J LOGIST-RES APP,SUPPLY CHAIN MANAG,131,4.072
DEV PSYCHOL,SOC DEV,85,2.305
ADDICT BEHAV,J SUBST USE,11,0.77
AM POLIT SCI REV,J POLIT,87,1.938
J TRAUMA STRESS,J ANXIETY DISORD,34,3.105
PSYCHOL ASSESSMENT,SCHOOL PSYCHOL QUART,29,3.256
BRIT ACCOUNT REV,J FINANC,56,6.043
PSYCHOTHER RES,J CLIN PSYCHOL,67,2.123
SOCIOL SPECTRUM,SOC SCI MED,13,2.797
HARVARD EDUC REV,EDUC RESEARCHER,21,3.827
J HEALTH CARE POOR U,J GEN INTERN MED,52,3.701
SOC BEHAV PERSONAL,J CONSUM RES,91,3.800
INT J FORECASTING,J AM STAT ASSOC,84,2.016
INT J HUM RESOUR MAN,CAN J ADM SCI,8,0.268
J EXP SOC PSYCHOL,PERS SOC PSYCHOL REV,53,9.361
TRAV HUMAIN,J VOCAT BEHAV,11,2.555
LEADERSHIP ORG DEV J,ACAD MANAGE REV,141,9.408
PLOS ONE,RES NURS HEALTH,59,1.693
PREV SCI,J COMMUNITY PSYCHOL,24,0.86
Q J ECON,REV ECON STUD,58,4.03
J CONSUM BEHAV,J CONSUM RES,291,3.800
FRONT PSYCHOL,CHILD DEV PERSPECT,68,3.911
J HAPPINESS STUD,AM PSYCHOL,138,6.681
ENVIRON BEHAV,SOC INFLUENCE,8,1
CRIMINOLOGY,EUR J CRIMINOL,20,1.359
J INTERPERS VIOLENCE,PSYCHOL VIOLENCE,18,2.192
J BUS ETHICS,J ACCOUNT PUBLIC POL,48,1.333
PSYCHOL SERV,PSYCHOL ASSESSMENT,31,3.307
SOCIOL EDUC,ANNU REV SOCIOL,34,5.404
BMJ OPEN,CAN J PUBLIC HEALTH,46,1.343
STRATEGIC MANAGE J,STRATEGIC MANAGE J,1684,4.461
J PHONETICS,LANG SPEECH,73,1.471
CHILD INDIC RES,CHILD INDIC RES,96,1.194
CLIN CHILD FAM PSYCH,J CLIN CHILD ADOLESC,65,4.396
MARKETING THEOR,CONSUMP MARK CULT,23,1.585
DEV REV,J CHILD PSYCHOL PSYC,28,6.226
LEARN INDIVID DIFFER,THINK SKILLS CREAT,17,1.589
TRANSPORT RES REC,TRANSPORT RES A-POL,304,2.609
J ADDICT NURS,ADDICT BEHAV,18,2.944
J SOC SOC WORK RES,PEDIATRICS,20,5.705
INSTR SCI,EDUC PSYCHOL-US,55,6.257
PERS INDIV DIFFER,BASIC APPL SOC PSYCH,29,1.818
PUBLIC OPIN QUART,POLIT ANAL,25,3.361
REV ECON STAT,AM ECON REV,206,4.026
COGNITION,FRONT PSYCHOL,173,2.321
BMJ OPEN,SOC PSYCH PSYCH EPID,85,2.922
COGNITIVE SCI,THINK REASONING,15,2.783
CLIN PSYCHOL PSYCHOT,PSYCHOTHER RES,57,2.556
J PERS PSYCHOL,ACAD MANAGE REV,16,9.408
ASIA PAC J MANAG,STRATEGIC MANAGE J,213,4.461
J AGING HEALTH,GERONTOLOGIST,79,3.505
PERS REV,GROUP ORGAN MANAGE,37,1.846
ACAD MANAGE REV,ORGAN STUD,97,3.107
J BUS RES,STRATEG ORGAN,28,1.941
J CLIN CHILD ADOLESC,J ABNORM PSYCHOL,84,4.133
CULT PSYCHOL,AM PSYCHOL,10,6.681
SCI ENG ETHICS,SCI ENG ETHICS,187,2.229
BMC MED EDUC,EVAL HEALTH PROF,13,1.306
INT J EDUC VOCAT GUI,J CAREER ASSESSMENT,38,1.33
COMPUT HUM BEHAV,HEALTH COMMUN,47,1.487
SOCIOL PERSPECT,ANNU REV SOCIOL,47,5.404
ACTA PSYCHIAT SCAND,EPIDEMIOL PSYCH SCI,13,4.246
Z PADAGOG PSYCHOL,PSYCHOL BULL,14,16.793
INDIAN J PSYCHIAT,AM J PSYCHIAT,62,14.176
COGNITIVE PSYCHOL,J EXP PSYCHOL HUMAN,68,2.287
ASLIB J INFORM MANAG,INFORM PROCESS MANAG,40,2.391
ACAD MANAGE PERSPECT,ACAD MANAGE PERSPECT,54,4.943
